Model/algortihm;0;-5;-10;-15
FBP;4.57;-0.19;-5.17;-10.09
BM3Dsino;9.93;7.40;4.61;2.09
BM3Dreco;10.85;8.15;5.07;1.76
U-Net;7.18;6.34;4.50;1.94
GAT;9.36;7.89;6.64;5.32
Conv+GAT;10.05;9.07;7.17;6.15
GAT+U-Net;8.39;7.49;6.60;5.66
GAT+U-Net**;13.34;12.07;11.46;9.62
Conv+GAT+U-Net;8.31;7.47;6.66;5.15
Conv+GAT+U-Net**;13.43;12.52;11.43;9.55
